[2026-04-09 20:53:04,474] 13 root - INFO - Starting data ingestion
[2026-04-09 20:53:07,570] 66 root - INFO - Train test split done
[2026-04-09 20:53:07,570] 67 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[2026-04-09 20:53:07,571] 71 root - INFO - Exporting train and test files
[2026-04-09 20:53:07,611] 74 root - INFO - Exported train and test files
[2026-04-09 20:53:07,612] 15 root - INFO - Data ingestion completed
[2026-04-09 20:53:07,615] 19 root - INFO - Starting data validation
[2026-04-09 20:53:07,669] 32 root - INFO - Expected number of columns: 2
[2026-04-09 20:53:07,669] 33 root - INFO - Actual number of columns: 31
[2026-04-09 20:53:07,670] 32 root - INFO - Expected number of columns: 2
[2026-04-09 20:53:07,670] 33 root - INFO - Actual number of columns: 31
[2026-04-09 20:53:07,743] 63 root - INFO - Drift report saved to artifact\04_09_2026_20_53_03\data_validation\drift_report\report.yaml
[2026-04-09 20:53:07,786] 21 root - INFO - Data validation completed
[2026-04-09 20:53:07,787] 25 root - INFO - Starting data transformation
[2026-04-09 20:53:07,787] 40 root - INFO - Enter the initiate_data_transformation method of DataTransformation class
[2026-04-09 20:53:07,787] 42 root - INFO - Starting data transformation
[2026-04-09 20:53:07,901] 41 root - INFO - Enter the save object method of utils
[2026-04-09 20:53:07,904] 46 root - INFO - Exit the save object method of utils
[2026-04-09 20:53:07,905] 75 root - INFO - Data transformation completed
[2026-04-09 20:53:07,906] 27 root - INFO - Data transformation completed
